						
買う	Present Positive Plain<br>買う<br>(C1)
食べました	Past Positive Polite<br>食べる<br>(B1)
食べませんでした	Past Negative Polite<br>食べる<br>(B1)
食べて	-te Form<br>食べる<br>(B1)
食べよう	Volitional<br>食べる<br>(B1)
食べられる	Potential<br>食べる<br>(B1)
食べられる	Passive<br>食べる<br>(B1)
食べさせる	Causative<br>食べる<br>(B1)
食べろ	Imperative<br>食べる<br>(B1)
食べれば	Conditional<br>食べる<br>(B1)
見る	Present Positive Plain<br>見る<br>(B2)
見ない	Present Negative Plain<br>見る<br>(B2)
見ます	Present Positive Polite<br>見る<br>(B2)
見ません	Present Negative Polite<br>見る<br>(B2)
見た	Past Positive Plain<br>見る<br>(B2)
見なかった	Past Negative Plain<br>見る<br>(B2)
見ました	Past Positive Polite<br>見る<br>(B2)
見ませんでした	Past Negative Polite<br>見る<br>(B2)
見て	-te Form<br>見る<br>(B2)
見よう	Volitional<br>見る<br>(B2)
見られる	Potential<br>見る<br>(B2)
見られる	Passive<br>見る<br>(B2)
見させる	Causative<br>見る<br>(B2)
見ろ	Imperative<br>見る<br>(B2)
見れば	Conditional<br>見る<br>(B2)
用いる	Present Positive Plain<br>用いる<br>(B3)
用いない	Present Negative Plain<br>用いる<br>(B3)
用います	Present Positive Polite<br>用いる<br>(B3)
用いません	Present Negative Polite<br>用いる<br>(B3)
用いた	Past Positive Plain<br>用いる<br>(B3)
用いなかった	Past Negative Plain<br>用いる<br>(B3)
用いました	Past Positive Polite<br>用いる<br>(B3)
用いませんでした	Past Negative Polite<br>用いる<br>(B3)
用いて	-te Form<br>用いる<br>(B3)
用おう	Volitional<br>用いる<br>(B3)
用える	Potential<br>用いる<br>(B3)
用われる	Passive<br>用いる<br>(B3)
用わせる	Causative<br>用いる<br>(B3)
用いろ	Imperative<br>用いる<br>(B3)
用えば	Conditional<br>用いる<br>(B3)
行く(D1)	行く	彼は毎朝ジョギングに行く。	(かれはまいあさじょぎんぐにいく。)	He goes jogging every morning.		Present Positive Plain
行く(D1)	行かない	彼女は雨の日には外出しない。	(かのじょはあめのひにはがいしゅつしない。)	She doesn't go out on rainy days.		Present Negative Plain
行く(D1)	行きます	私たちは今晩映画を見に行きます。	(わたしたちはこんばんえいがをみにいきます。)	We are going to see a movie tonight.		Present Positive Polite
行く(D1)	行きません	この週末は旅行には行きません。	(このしゅうまつはりょこうにはいきません。)	I'm not going on a trip this weekend.		Present Negative Polite
行く(D1)	行った	先週、友達と海へ行った。	(せんしゅう、ともだちとうみへいった。)	I went to the beach with my friends last week.		Past Positive Plain
行く(D1)	行かなかった	彼は昨日、授業に行かなかった。	(かれはきのう、じゅぎょうにいかなかった。)	He didn't go to class yesterday.		Past Negative Plain
行く(D1)	行きました	彼女は昨夜、コンサートに行きました。	(かのじょはさくや、こんさーとにいきました。)	She went to the concert last night.		Past Positive Polite
行く(D1)	行きませんでした	私たちは先週末、野外コンサートに行きませんでした。	(わたしたちはせんしゅうまつ、やがいこんさーとにいきませんでした。)	We didn't go to the outdoor concert last weekend.		Past Negative Polite
行く(D1)	行って	彼らは映画館に行ってきた。	(かれらはえいがかんにいってきた。)	They went to the movie theater.		-te Form
行く(D1)	行こう	明日は公園にピクニックしに行こう。	(あしたはこうえんにぴくにっくしにいこう。)	Let's go to the park for a picnic tomorrow.		Volitional
行く(D1)	行ける	彼は一人で外国に行ける。	(かれはひとりでがいこくにいける。)	He can go abroad alone.		Potential
行く(D1)	行かれる	その会社では、定期的に海外出張が行かれる。	(そのかいしゃでは、ていきてきにかいがいしゅっちょうがいかれる。)	In that company, regular overseas business trips are made.		Passive
行く(D1)	行かせる	両親は子供たちを映画館に行かせた。	(りょうしんはこどもたちをえいがかんにいかせた。)	The parents made the children go to the movie theater.		Causative
行く(D1)	行け	早く行け！	(はやくいけ！)	Go quickly!		Imperative
行く(D1)	行けば	もし天気が良ければ、散歩に行けばどうですか？	(もしてんきがよければ、さんぽにいけばどうですか？)	If the weather is good, how about going for a walk?		Conditional
往く(D2)	往く	彼は毎年夏に祖国へ往く。	(かれはまいとしなつにそこくへゆく。)	He goes back to his homeland every summer.		Present Positive Plain
往く(D2)	往かない	彼女は町から出ずに往かない。	(かのじょはまちからいずにいかない。)	She doesn't venture out of town.		Present Negative Plain
往く(D2)	往きます	彼は出張のために東京へ往きます。	(かれはしゅっちょうのためにとうきょうへいきます。)	He travels to Tokyo for business.		Present Positive Polite
往く(D2)	往きません	今日は用事があって出かけないので、外には往きません。	(きょうはようじがあってでかけないので、そとにはいきません。)	I won't go outside today because I have errands to run.		Present Negative Polite
往く(D2)	往いた	私は昨日、彼の家へ往いた。	(わたしはきのう、かれのいえへゆいた。)	I went to his house yesterday.		Past Positive Plain
往く(D2)	往かなかった	彼は昨日、予定が変わって出かけなかったので、祭りへ往かなかった。	(かれはきのう、よていがかわってでかけなかったので、まつりへいかなかった。)	He didn't go to the festival yesterday because his plans changed and he didn't go out.		Past Negative Plain
往く(D2)	往きました	先月、京都へ往きました。	(せんげつ、きょうとへいきました。)	I went to Kyoto last month.		Past Positive Polite
往く(D2)	往きませんでした	その日は雨だったので、公園へ往きませんでした。	(そのひはあめだったので、こうえんへいきませんでした。)	It was raining that day, so I didn't go to the park.		Past Negative Polite
往く(D2)	往いて	神社へお参りに往いて、お守りを買いました。	(じんじゃへおまいりにゆいて、おまもりをかいました。)	I went to the shrine to pray and bought a protective charm.		-te Form
往く(D2)	往こう	明日は山へ往こうと思っています。	(あしたはやまへいこうとおもっています。)	I'm thinking of going to the mountains tomorrow.		Volitional
往く(D2)	往ける	彼は自由に世界中を往ける。	(かれはじゆうにせかいじゅうをゆける。)	He can travel freely around the world.		Potential
往く(D2)	往かれる	その地域は多くの観光客によって訪れられている。	(そのちいきはおおくのかんこうきゃくによっておとずれられている。)	That area is visited by many tourists.		Passive
往く(D2)	往かせる	彼は子供たちを危険な場所へは往かせない。	(かれはこどもたちをきけんなばしょへはいかせない。)	He doesn't let the children go to dangerous places.		Causative
往く(D2)	往け	旅立ちの時が来たら、新しい冒険に往け！	(たびだちのときがきたら、あたらしいぼうけんにいけ！)	When the time for departure comes, go on a new adventure!		Imperative
往く(D2)	往けば	大学が近くにあれば、自転車で往けばいいですね。	(だいがくがちかくにあれば、じてんしゃでいけばいいですね。)	If the university is nearby, it would be good to go by bike.		Conditional
イく	Present Positive Plain<br>イく<br>(D3)
イかん	Present Negative Plain<br>イく<br>(D3)
イきます	Present Positive Polite<br>イく<br>(D3)
イきません	Present Negative Polite<br>イく<br>(D3)
イった	Past Positive Plain<br>イく<br>(D3)
イかんかった	Past Negative Plain<br>イく<br>(D3)
イきました	Past Positive Polite<br>イく<br>(D3)
イきませんでした	Past Negative Polite<br>イく<br>(D3)
イって	-te Form<br>イく<br>(D3)
イこう	Volitional<br>イく<br>(D3)
イける	Potential<br>イく<br>(D3)
イかれる	Passive<br>イく<br>(D3)
イかせる	Causative<br>イく<br>(D3)
イけ	Imperative<br>イく<br>(D3)
イけば	Conditional<br>イく<br>(D3)
禁ずる	Present Positive Plain<br>禁ずる<br>(E1)
禁ずられない	Present Negative Plain<br>禁ずる<br>(E1)
禁ずります	Present Positive Polite<br>禁ずる<br>(E1)
禁ずりません	Present Negative Polite<br>禁ずる<br>(E1)
禁ずった	Past Positive Plain<br>禁ずる<br>(E1)
禁ずられなかった	Past Negative Plain<br>禁ずる<br>(E1)
禁ずりました	Past Positive Polite<br>禁ずる<br>(E1)
禁ずりませんでした	Past Negative Polite<br>禁ずる<br>(E1)
禁ずって	-te Form<br>禁ずる<br>(E1)
禁ずろう	Volitional<br>禁ずる<br>(E1)
禁ずれる	Potential<br>禁ずる<br>(E1)
禁ずられる	Passive<br>禁ずる<br>(E1)
禁ずらせる	Causative<br>禁ずる<br>(E1)
禁ずれ	Imperative<br>禁ずる<br>(E1)
禁ずれば	Conditional<br>禁ずる<br>(E1)
信ずる	Present Positive Plain<br>信ずる<br>(E2)
信じない	Present Negative Plain<br>信ずる<br>(E2)
信じます	Present Positive Polite<br>信ずる<br>(E2)
信じません	Present Negative Polite<br>信ずる<br>(E2)
信じた	Past Positive Plain<br>信ずる<br>(E2)
信じなかった	Past Negative Plain<br>信ずる<br>(E2)
信じました	Past Positive Polite<br>信ずる<br>(E2)
信じませんでした	Past Negative Polite<br>信ずる<br>(E2)
信じて	-te Form<br>信ずる<br>(E2)
信じよう	Volitional<br>信ずる<br>(E2)
信じられる	Potential<br>信ずる<br>(E2)
信じられる	Passive<br>信ずる<br>(E2)
信じさせる	Causative<br>信ずる<br>(E2)
信じろ	Imperative<br>信ずる<br>(E2)
信じれば	Conditional<br>信ずる<br>(E2)
命ずる	Present Positive Plain<br>命ずる<br>(E3)
命ずらない	Present Negative Plain<br>命ずる<br>(E3)
命ずります	Present Positive Polite<br>命ずる<br>(E3)
命ずりません	Present Negative Polite<br>命ずる<br>(E3)
命ずった	Past Positive Plain<br>命ずる<br>(E3)
命ずらなかった	Past Negative Plain<br>命ずる<br>(E3)
命ずりました	Past Positive Polite<br>命ずる<br>(E3)
命ずりませんでした	Past Negative Polite<br>命ずる<br>(E3)
命ずって	-te Form<br>命ずる<br>(E3)
命ずろう	Volitional<br>命ずる<br>(E3)
命ずれる	Potential<br>命ずる<br>(E3)
命ずられる	Passive<br>命ずる<br>(E3)
命ずらせる	Causative<br>命ずる<br>(E3)
命ずれ	Imperative<br>命ずる<br>(E3)
命ずれば	Conditional<br>命ずる<br>(E3)
泳ぐ	Present Positive Plain<br>泳ぐ<br>(F1)
泳がない	Present Negative Plain<br>泳ぐ<br>(F1)
泳ぎます	Present Positive Polite<br>泳ぐ<br>(F1)
泳ぎません	Present Negative Polite<br>泳ぐ<br>(F1)
泳いだ	Past Positive Plain<br>泳ぐ<br>(F1)
泳がなかった	Past Negative Plain<br>泳ぐ<br>(F1)
泳ぎました	Past Positive Polite<br>泳ぐ<br>(F1)
泳ぎませんでした	Past Negative Polite<br>泳ぐ<br>(F1)
泳いで	-te Form<br>泳ぐ<br>(F1)
泳ごう	Volitional<br>泳ぐ<br>(F1)
泳げる	Potential<br>泳ぐ<br>(F1)
泳がれる	Passive<br>泳ぐ<br>(F1)
泳がせる	Causative<br>泳ぐ<br>(F1)
泳げ	Imperative<br>泳ぐ<br>(F1)
泳げば	Conditional<br>泳ぐ<br>(F1)
次ぐ	Present Positive Plain<br>次ぐ<br>(F2)
次がない	Present Negative Plain<br>次ぐ<br>(F2)
次ぎます	Present Positive Polite<br>次ぐ<br>(F2)
次ぎません	Present Negative Polite<br>次ぐ<br>(F2)
次いだ	Past Positive Plain<br>次ぐ<br>(F2)
次がなかった	Past Negative Plain<br>次ぐ<br>(F2)
次ぎました	Past Positive Polite<br>次ぐ<br>(F2)
次ぎませんでした	Past Negative Polite<br>次ぐ<br>(F2)
次いで	-te Form<br>次ぐ<br>(F2)
次ごう	Volitional<br>次ぐ<br>(F2)
次げる	Potential<br>次ぐ<br>(F2)
次がれる	Passive<br>次ぐ<br>(F2)
次がせる	Causative<br>次ぐ<br>(F2)
次げ	Imperative<br>次ぐ<br>(F2)
次げば	Conditional<br>次ぐ<br>(F2)
注ぐ	Present Positive Plain<br>注ぐ<br>(F3)
注がない	Present Negative Plain<br>注ぐ<br>(F3)
注ぎます	Present Positive Polite<br>注ぐ<br>(F3)
注ぎません	Present Negative Polite<br>注ぐ<br>(F3)
注いだ	Past Positive Plain<br>注ぐ<br>(F3)
注がなかった	Past Negative Plain<br>注ぐ<br>(F3)
注ぎました	Past Positive Polite<br>注ぐ<br>(F3)
注ぎませんでした	Past Negative Polite<br>注ぐ<br>(F3)
注いで	-te Form<br>注ぐ<br>(F3)
注ごう	Volitional<br>注ぐ<br>(F3)
注げる	Potential<br>注ぐ<br>(F3)
注がれる	Passive<br>注ぐ<br>(F3)
注がせる	Causative<br>注ぐ<br>(F3)
注げ	Imperative<br>注ぐ<br>(F3)
注げば	Conditional<br>注ぐ<br>(F3)
死ぬ	Present Positive Plain<br>死ぬ<br>(G1)
死なない	Present Negative Plain<br>死ぬ<br>(G1)
死にます	Present Positive Polite<br>死ぬ<br>(G1)
死にません	Present Negative Polite<br>死ぬ<br>(G1)
死んだ	Past Positive Plain<br>死ぬ<br>(G1)
死ななかった	Past Negative Plain<br>死ぬ<br>(G1)
死にました	Past Positive Polite<br>死ぬ<br>(G1)
死にませんでした	Past Negative Polite<br>死ぬ<br>(G1)
死んで	-te Form<br>死ぬ<br>(G1)
死のう	Volitional<br>死ぬ<br>(G1)
死ねる	Potential<br>死ぬ<br>(G1)
死なれる	Passive<br>死ぬ<br>(G1)
死なせる	Causative<br>死ぬ<br>(G1)
死ね	Imperative<br>死ぬ<br>(G1)
死ねば	Conditional<br>死ぬ<br>(G1)
去ぬ	Present Positive Plain<br>去ぬ<br>(G2)
去らない	Present Negative Plain<br>去ぬ<br>(G2)
去ります	Present Positive Polite<br>去ぬ<br>(G2)
去りません	Present Negative Polite<br>去ぬ<br>(G2)
去った	Past Positive Plain<br>去ぬ<br>(G2)
去らなかった	Past Negative Plain<br>去ぬ<br>(G2)
去りました	Past Positive Polite<br>去ぬ<br>(G2)
去りませんでした	Past Negative Polite<br>去ぬ<br>(G2)
去って	-te Form<br>去ぬ<br>(G2)
去ろう	Volitional<br>去ぬ<br>(G2)
去れる	Potential<br>去ぬ<br>(G2)
去られる	Passive<br>去ぬ<br>(G2)
去らせる	Causative<br>去ぬ<br>(G2)
去れ	Imperative<br>去ぬ<br>(G2)
去れば	Conditional<br>去ぬ<br>(G2)
往ぬ	Present Positive Plain<br>往ぬ<br>(G3)
往かぬ	Present Negative Plain<br>往ぬ<br>(G3)
往きます	Present Positive Polite<br>往ぬ<br>(G3)
往きません	Present Negative Polite<br>往ぬ<br>(G3)
往った	Past Positive Plain<br>往ぬ<br>(G3)
往かなかった	Past Negative Plain<br>往ぬ<br>(G3)
往きました	Past Positive Polite<br>往ぬ<br>(G3)
往きませんでした	Past Negative Polite<br>往ぬ<br>(G3)
往いて	-te Form<br>往ぬ<br>(G3)
往こう	Volitional<br>往ぬ<br>(G3)
往ける	Potential<br>往ぬ<br>(G3)
往かれる	Passive<br>往ぬ<br>(G3)
往かせる	Causative<br>往ぬ<br>(G3)
往け	Imperative<br>往ぬ<br>(G3)
往けば	Conditional<br>往ぬ<br>(G3)
来る	Present Positive Plain<br>来る<br>(H1)
来ない	Present Negative Plain<br>来る<br>(H1)
来ます	Present Positive Polite<br>来る<br>(H1)
来ません	Present Negative Polite<br>来る<br>(H1)
来た	Past Positive Plain<br>来る<br>(H1)
来なかった	Past Negative Plain<br>来る<br>(H1)
来ました	Past Positive Polite<br>来る<br>(H1)
来ませんでした	Past Negative Polite<br>来る<br>(H1)
来て	-te Form<br>来る<br>(H1)
来よう	Volitional<br>来る<br>(H1)
来られる	Potential<br>来る<br>(H1)
来られる	Passive<br>来る<br>(H1)
来させる	Causative<br>来る<br>(H1)
来い	Imperative<br>来る<br>(H1)
来れば	Conditional<br>来る<br>(H1)
連れて来る	Present Positive Plain<br>連れて来る<br>(H2)
連れて来ない	Present Negative Plain<br>連れて来る<br>(H2)
連れて来ます	Present Positive Polite<br>連れて来る<br>(H2)
連れて来ません	Present Negative Polite<br>連れて来る<br>(H2)
連れて来た	Past Positive Plain<br>連れて来る<br>(H2)
連れて来なかった	Past Negative Plain<br>連れて来る<br>(H2)
連れて来ました	Past Positive Polite<br>連れて来る<br>(H2)
連れて来ませんでした	Past Negative Polite<br>連れて来る<br>(H2)
連れて来て	-te Form<br>連れて来る<br>(H2)
連れて来よう	Volitional<br>連れて来る<br>(H2)
連れて来られる	Potential<br>連れて来る<br>(H2)
連れて来られる	Passive<br>連れて来る<br>(H2)
連れて来させる	Causative<br>連れて来る<br>(H2)
連れて来い	Imperative<br>連れて来る<br>(H2)
連れて来れば	Conditional<br>連れて来る<br>(H2)
有る	Present Positive Plain<br>有る<br>(I1)
有らない	Present Negative Plain<br>有る<br>(I1)
有ります	Present Positive Polite<br>有る<br>(I1)
有りません	Present Negative Polite<br>有る<br>(I1)
有った	Past Positive Plain<br>有る<br>(I1)
有らなかった	Past Negative Plain<br>有る<br>(I1)
有りました	Past Positive Polite<br>有る<br>(I1)
有りませんでした	Past Negative Polite<br>有る<br>(I1)
有って	-te Form<br>有る<br>(I1)
有ろう	Volitional<br>有る<br>(I1)
有れる	Potential<br>有る<br>(I1)
有られる	Passive<br>有る<br>(I1)
有らせる	Causative<br>有る<br>(I1)
有れ	Imperative<br>有る<br>(I1)
有れば	Conditional<br>有る<br>(I1)
書く	Present Positive Plain<br>書く<br>(J1)
書かない	Present Negative Plain<br>書く<br>(J1)
書きます	Present Positive Polite<br>書く<br>(J1)
書きません	Present Negative Polite<br>書く<br>(J1)
書いた	Past Positive Plain<br>書く<br>(J1)
書かなかった	Past Negative Plain<br>書く<br>(J1)
書きました	Past Positive Polite<br>書く<br>(J1)
書きませんでした	Past Negative Polite<br>書く<br>(J1)
書いて	-te Form<br>書く<br>(J1)
書こう	Volitional<br>書く<br>(J1)
書ける	Potential<br>書く<br>(J1)
書かれる	Passive<br>書く<br>(J1)
書かせる	Causative<br>書く<br>(J1)
書け	Imperative<br>書く<br>(J1)
書けば	Conditional<br>書く<br>(J1)
聞く	Present Positive Plain<br>聞く<br>(J2)
聞かない	Present Negative Plain<br>聞く<br>(J2)
聞きます	Present Positive Polite<br>聞く<br>(J2)
聞きません	Present Negative Polite<br>聞く<br>(J2)
聞いた	Past Positive Plain<br>聞く<br>(J2)
聞かなかった	Past Negative Plain<br>聞く<br>(J2)
聞きました	Past Positive Polite<br>聞く<br>(J2)
聞きませんでした	Past Negative Polite<br>聞く<br>(J2)
聞いて	-te Form<br>聞く<br>(J2)
聞こう	Volitional<br>聞く<br>(J2)
聞ける	Potential<br>聞く<br>(J2)
聞かれる	Passive<br>聞く<br>(J2)
聞かせる	Causative<br>聞く<br>(J2)
聞け	Imperative<br>聞く<br>(J2)
聞けば	Conditional<br>聞く<br>(J2)
置く	Present Positive Plain<br>置く<br>(J3)
置かない	Present Negative Plain<br>置く<br>(J3)
置きます	Present Positive Polite<br>置く<br>(J3)
置きません	Present Negative Polite<br>置く<br>(J3)
置いた	Past Positive Plain<br>置く<br>(J3)
置かなかった	Past Negative Plain<br>置く<br>(J3)
置きました	Past Positive Polite<br>置く<br>(J3)
置きませんでした	Past Negative Polite<br>置く<br>(J3)
置いて	-te Form<br>置く<br>(J3)
置こう	Volitional<br>置く<br>(J3)
置ける	Potential<br>置く<br>(J3)
置かれる	Passive<br>置く<br>(J3)
置かせる	Causative<br>置く<br>(J3)
置け	Imperative<br>置く<br>(J3)
置けば	Conditional<br>置く<br>(J3)
接する	Present Positive Plain<br>接する<br>(K1)
接しない	Present Negative Plain<br>接する<br>(K1)
接します	Present Positive Polite<br>接する<br>(K1)
接しません	Present Negative Polite<br>接する<br>(K1)
接した	Past Positive Plain<br>接する<br>(K1)
接しなかった	Past Negative Plain<br>接する<br>(K1)
接しました	Past Positive Polite<br>接する<br>(K1)
接しませんでした	Past Negative Polite<br>接する<br>(K1)
接して	-te Form<br>接する<br>(K1)
接しよう	Volitional<br>接する<br>(K1)
接できる	Potential<br>接する<br>(K1)
接される	Passive<br>接する<br>(K1)
接させる	Causative<br>接する<br>(K1)
接せよ	Imperative<br>接する<br>(K1)
接すれば	Conditional<br>接する<br>(K1)
発する	Present Positive Plain<br>発する<br>(K2)
発しない	Present Negative Plain<br>発する<br>(K2)
発します	Present Positive Polite<br>発する<br>(K2)
発しません	Present Negative Polite<br>発する<br>(K2)
発した	Past Positive Plain<br>発する<br>(K2)
発さなかった	Past Negative Plain<br>発する<br>(K2)
発しました	Past Positive Polite<br>発する<br>(K2)
発しませんでした	Past Negative Polite<br>発する<br>(K2)
発して	-te Form<br>発する<br>(K2)
発そう	Volitional<br>発する<br>(K2)
発できる	Potential<br>発する<br>(K2)
発される	Passive<br>発する<br>(K2)
発させる	Causative<br>発する<br>(K2)
発せよ	Imperative<br>発する<br>(K2)
発すれば	Conditional<br>発する<br>(K2)
罰する	Present Positive Plain<br>罰する<br>(K3)
罰しない	Present Negative Plain<br>罰する<br>(K3)
罰します	Present Positive Polite<br>罰する<br>(K3)
罰しません	Present Negative Polite<br>罰する<br>(K3)
罰した	Past Positive Plain<br>罰する<br>(K3)
罰さなかった	Past Negative Plain<br>罰する<br>(K3)
罰しました	Past Positive Polite<br>罰する<br>(K3)
罰しませんでした	Past Negative Polite<br>罰する<br>(K3)
罰して	-te Form<br>罰する<br>(K3)
罰そう	Volitional<br>罰する<br>(K3)
罰できる	Potential<br>罰する<br>(K3)
罰される	Passive<br>罰する<br>(K3)
罰させる	Causative<br>罰する<br>(K3)
罰せよ	Imperative<br>罰する<br>(K3)
罰すれば	Conditional<br>罰する<br>(K3)
指す	Present Positive Plain<br>指す<br>(L1)
指さない	Present Negative Plain<br>指す<br>(L1)
指します	Present Positive Polite<br>指す<br>(L1)
指しません	Present Negative Polite<br>指す<br>(L1)
指した	Past Positive Plain<br>指す<br>(L1)
指さなかった	Past Negative Plain<br>指す<br>(L1)
指しました	Past Positive Polite<br>指す<br>(L1)
指しませんでした	Past Negative Polite<br>指す<br>(L1)
指して	-te Form<br>指す<br>(L1)
指そう	Volitional<br>指す<br>(L1)
指せる	Potential<br>指す<br>(L1)
指される	Passive<br>指す<br>(L1)
指させる	Causative<br>指す<br>(L1)
指せ	Imperative<br>指す<br>(L1)
指せば	Conditional<br>指す<br>(L1)
話す	Present Positive Plain<br>話す<br>(L2)
話さない	Present Negative Plain<br>話す<br>(L2)
話します	Present Positive Polite<br>話す<br>(L2)
話しません	Present Negative Polite<br>話す<br>(L2)
話した	Past Positive Plain<br>話す<br>(L2)
話さなかった	Past Negative Plain<br>話す<br>(L2)
話しました	Past Positive Polite<br>話す<br>(L2)
話しませんでした	Past Negative Polite<br>話す<br>(L2)
話して	-te Form<br>話す<br>(L2)
話そう	Volitional<br>話す<br>(L2)
話せる	Potential<br>話す<br>(L2)
話される	Passive<br>話す<br>(L2)
話させる	Causative<br>話す<br>(L2)
話せ	Imperative<br>話す<br>(L2)
話せば	Conditional<br>話す<br>(L2)
示す	Present Positive Plain<br>示す<br>(L3)
示さない	Present Negative Plain<br>示す<br>(L3)
示します	Present Positive Polite<br>示す<br>(L3)
示しません	Present Negative Polite<br>示す<br>(L3)
示した	Past Positive Plain<br>示す<br>(L3)
示さなかった	Past Negative Plain<br>示す<br>(L3)
示しました	Past Positive Polite<br>示す<br>(L3)
示しませんでした	Past Negative Polite<br>示す<br>(L3)
示して	-te Form<br>示す<br>(L3)
示そう	Volitional<br>示す<br>(L3)
示せる	Potential<br>示す<br>(L3)
示される	Passive<br>示す<br>(L3)
示させる	Causative<br>示す<br>(L3)
示せ	Imperative<br>示す<br>(L3)
示せば	Conditional<br>示す<br>(L3)
愛する	Present Positive Plain<br>愛する<br>(M1)
愛さない	Present Negative Plain<br>愛する<br>(M1)
愛します	Present Positive Polite<br>愛する<br>(M1)
愛しません	Present Negative Polite<br>愛する<br>(M1)
愛した	Past Positive Plain<br>愛する<br>(M1)
愛さなかった	Past Negative Plain<br>愛する<br>(M1)
愛しました	Past Positive Polite<br>愛する<br>(M1)
