						
Present Positive Plain<br>買う	買う<br>(C1)
行く(D1)	行かなかった	彼は昨日、授業に行かなかった。	(かれはきのう、じゅぎょうにいかなかった。)	He didn't go to class yesterday.		Past Negative Plain
行く(D1)	行きました	彼女は昨夜、コンサートに行きました。	(かのじょはさくや、こんさーとにいきました。)	She went to the concert last night.		Past Positive Polite
行く(D1)	行きませんでした	私たちは先週末、野外コンサートに行きませんでした。	(わたしたちはせんしゅうまつ、やがいこんさーとにいきませんでした。)	We didn't go to the outdoor concert last weekend.		Past Negative Polite
行く(D1)	行って	彼らは映画館に行ってきた。	(かれらはえいがかんにいってきた。)	They went to the movie theater.		-te Form
行く(D1)	行こう	明日は公園にピクニックしに行こう。	(あしたはこうえんにぴくにっくしにいこう。)	Let's go to the park for a picnic tomorrow.		Volitional
行く(D1)	行ける	彼は一人で外国に行ける。	(かれはひとりでがいこくにいける。)	He can go abroad alone.		Potential
行く(D1)	行かれる	その会社では、定期的に海外出張が行かれる。	(そのかいしゃでは、ていきてきにかいがいしゅっちょうがいかれる。)	In that company, regular overseas business trips are made.		Passive
行く(D1)	行かせる	両親は子供たちを映画館に行かせた。	(りょうしんはこどもたちをえいがかんにいかせた。)	The parents made the children go to the movie theater.		Causative
行く(D1)	行け	早く行け！	(はやくいけ！)	Go quickly!		Imperative
行く(D1)	行けば	もし天気が良ければ、散歩に行けばどうですか？	(もしてんきがよければ、さんぽにいけばどうですか？)	If the weather is good, how about going for a walk?		Conditional
往く(D2)	往く	彼は毎年夏に祖国へ往く。	(かれはまいとしなつにそこくへゆく。)	He goes back to his homeland every summer.		Present Positive Plain
往く(D2)	往かない	彼女は町から出ずに往かない。	(かのじょはまちからいずにいかない。)	She doesn't venture out of town.		Present Negative Plain
往く(D2)	往きます	彼は出張のために東京へ往きます。	(かれはしゅっちょうのためにとうきょうへいきます。)	He travels to Tokyo for business.		Present Positive Polite
往く(D2)	往きません	今日は用事があって出かけないので、外には往きません。	(きょうはようじがあってでかけないので、そとにはいきません。)	I won't go outside today because I have errands to run.		Present Negative Polite
往く(D2)	往いた	私は昨日、彼の家へ往いた。	(わたしはきのう、かれのいえへゆいた。)	I went to his house yesterday.		Past Positive Plain
往く(D2)	往かなかった	彼は昨日、予定が変わって出かけなかったので、祭りへ往かなかった。	(かれはきのう、よていがかわってでかけなかったので、まつりへいかなかった。)	He didn't go to the festival yesterday because his plans changed and he didn't go out.		Past Negative Plain
往く(D2)	往きました	先月、京都へ往きました。	(せんげつ、きょうとへいきました。)	I went to Kyoto last month.		Past Positive Polite
往く(D2)	往きませんでした	その日は雨だったので、公園へ往きませんでした。	(そのひはあめだったので、こうえんへいきませんでした。)	It was raining that day, so I didn't go to the park.		Past Negative Polite
往く(D2)	往いて	神社へお参りに往いて、お守りを買いました。	(じんじゃへおまいりにゆいて、おまもりをかいました。)	I went to the shrine to pray and bought a protective charm.		-te Form
往く(D2)	往こう	明日は山へ往こうと思っています。	(あしたはやまへいこうとおもっています。)	I'm thinking of going to the mountains tomorrow.		Volitional
往く(D2)	往ける	彼は自由に世界中を往ける。	(かれはじゆうにせかいじゅうをゆける。)	He can travel freely around the world.		Potential
往く(D2)	往かれる	その地域は多くの観光客によって訪れられている。	(そのちいきはおおくのかんこうきゃくによっておとずれられている。)	That area is visited by many tourists.		Passive
往く(D2)	往かせる	彼は子供たちを危険な場所へは往かせない。	(かれはこどもたちをきけんなばしょへはいかせない。)	He doesn't let the children go to dangerous places.		Causative
往く(D2)	往け	旅立ちの時が来たら、新しい冒険に往け！	(たびだちのときがきたら、あたらしいぼうけんにいけ！)	When the time for departure comes, go on a new adventure!		Imperative
往く(D2)	往けば	大学が近くにあれば、自転車で往けばいいですね。	(だいがくがちかくにあれば、じてんしゃでいけばいいですね。)	If the university is nearby, it would be good to go by bike.		Conditional
Present Positive Plain<br>イく	イく<br>(D3)
Present Negative Plain<br>イく	イかん<br>(D3)
Present Positive Polite<br>イく	イきます<br>(D3)
Present Negative Polite<br>イく	イきません<br>(D3)
Past Positive Plain<br>イく	イった<br>(D3)
Past Negative Plain<br>イく	イかんかった<br>(D3)
Past Positive Polite<br>イく	イきました<br>(D3)
Past Negative Polite<br>イく	イきませんでした<br>(D3)
-te Form<br>イく	イって<br>(D3)
Volitional<br>イく	イこう<br>(D3)
Potential<br>イく	イける<br>(D3)
Passive<br>イく	イかれる<br>(D3)
Causative<br>イく	イかせる<br>(D3)
Imperative<br>イく	イけ<br>(D3)
Conditional<br>イく	イけば<br>(D3)
Present Positive Plain<br>禁ずる	禁ずる<br>(E1)
Present Negative Plain<br>禁ずる	禁ずられない<br>(E1)
Present Positive Polite<br>禁ずる	禁ずります<br>(E1)
Present Negative Polite<br>禁ずる	禁ずりません<br>(E1)
Past Positive Plain<br>禁ずる	禁ずった<br>(E1)
Past Negative Plain<br>禁ずる	禁ずられなかった<br>(E1)
Past Positive Polite<br>禁ずる	禁ずりました<br>(E1)
Past Negative Polite<br>禁ずる	禁ずりませんでした<br>(E1)
-te Form<br>禁ずる	禁ずって<br>(E1)
Volitional<br>禁ずる	禁ずろう<br>(E1)
Potential<br>禁ずる	禁ずれる<br>(E1)
Passive<br>禁ずる	禁ずられる<br>(E1)
Causative<br>禁ずる	禁ずらせる<br>(E1)
Imperative<br>禁ずる	禁ずれ<br>(E1)
Conditional<br>禁ずる	禁ずれば<br>(E1)
Present Positive Plain<br>信ずる	信ずる<br>(E2)
Present Negative Plain<br>信ずる	信じない<br>(E2)
Present Positive Polite<br>信ずる	信じます<br>(E2)
Present Negative Polite<br>信ずる	信じません<br>(E2)
Past Positive Plain<br>信ずる	信じた<br>(E2)
Past Negative Plain<br>信ずる	信じなかった<br>(E2)
Past Positive Polite<br>信ずる	信じました<br>(E2)
Past Negative Polite<br>信ずる	信じませんでした<br>(E2)
-te Form<br>信ずる	信じて<br>(E2)
Volitional<br>信ずる	信じよう<br>(E2)
Potential<br>信ずる	信じられる<br>(E2)
Passive<br>信ずる	信じられる<br>(E2)
Causative<br>信ずる	信じさせる<br>(E2)
Imperative<br>信ずる	信じろ<br>(E2)
Conditional<br>信ずる	信じれば<br>(E2)
Present Positive Plain<br>命ずる	命ずる<br>(E3)
Present Negative Plain<br>命ずる	命ずらない<br>(E3)
Present Positive Polite<br>命ずる	命ずります<br>(E3)
Present Negative Polite<br>命ずる	命ずりません<br>(E3)
Past Positive Plain<br>命ずる	命ずった<br>(E3)
Past Negative Plain<br>命ずる	命ずらなかった<br>(E3)
Past Positive Polite<br>命ずる	命ずりました<br>(E3)
Past Negative Polite<br>命ずる	命ずりませんでした<br>(E3)
-te Form<br>命ずる	命ずって<br>(E3)
Volitional<br>命ずる	命ずろう<br>(E3)
Potential<br>命ずる	命ずれる<br>(E3)
Passive<br>命ずる	命ずられる<br>(E3)
Causative<br>命ずる	命ずらせる<br>(E3)
Imperative<br>命ずる	命ずれ<br>(E3)
Conditional<br>命ずる	命ずれば<br>(E3)
Present Positive Plain<br>泳ぐ	泳ぐ<br>(F1)
Present Negative Plain<br>泳ぐ	泳がない<br>(F1)
Present Positive Polite<br>泳ぐ	泳ぎます<br>(F1)
Present Negative Polite<br>泳ぐ	泳ぎません<br>(F1)
Past Positive Plain<br>泳ぐ	泳いだ<br>(F1)
Past Negative Plain<br>泳ぐ	泳がなかった<br>(F1)
Past Positive Polite<br>泳ぐ	泳ぎました<br>(F1)
Past Negative Polite<br>泳ぐ	泳ぎませんでした<br>(F1)
-te Form<br>泳ぐ	泳いで<br>(F1)
Volitional<br>泳ぐ	泳ごう<br>(F1)
Potential<br>泳ぐ	泳げる<br>(F1)
Passive<br>泳ぐ	泳がれる<br>(F1)
Causative<br>泳ぐ	泳がせる<br>(F1)
Imperative<br>泳ぐ	泳げ<br>(F1)
Conditional<br>泳ぐ	泳げば<br>(F1)
Present Positive Plain<br>次ぐ	次ぐ<br>(F2)
Present Negative Plain<br>次ぐ	次がない<br>(F2)
Present Positive Polite<br>次ぐ	次ぎます<br>(F2)
Present Negative Polite<br>次ぐ	次ぎません<br>(F2)
Past Positive Plain<br>次ぐ	次いだ<br>(F2)
Past Negative Plain<br>次ぐ	次がなかった<br>(F2)
Past Positive Polite<br>次ぐ	次ぎました<br>(F2)
Past Negative Polite<br>次ぐ	次ぎませんでした<br>(F2)
-te Form<br>次ぐ	次いで<br>(F2)
Volitional<br>次ぐ	次ごう<br>(F2)
Potential<br>次ぐ	次げる<br>(F2)
Passive<br>次ぐ	次がれる<br>(F2)
Causative<br>次ぐ	次がせる<br>(F2)
Imperative<br>次ぐ	次げ<br>(F2)
Conditional<br>次ぐ	次げば<br>(F2)
Present Positive Plain<br>注ぐ	注ぐ<br>(F3)
Present Negative Plain<br>注ぐ	注がない<br>(F3)
Present Positive Polite<br>注ぐ	注ぎます<br>(F3)
Present Negative Polite<br>注ぐ	注ぎません<br>(F3)
Past Positive Plain<br>注ぐ	注いだ<br>(F3)
Past Negative Plain<br>注ぐ	注がなかった<br>(F3)
Past Positive Polite<br>注ぐ	注ぎました<br>(F3)
Past Negative Polite<br>注ぐ	注ぎませんでした<br>(F3)
-te Form<br>注ぐ	注いで<br>(F3)
Volitional<br>注ぐ	注ごう<br>(F3)
Potential<br>注ぐ	注げる<br>(F3)
Passive<br>注ぐ	注がれる<br>(F3)
Causative<br>注ぐ	注がせる<br>(F3)
Imperative<br>注ぐ	注げ<br>(F3)
Conditional<br>注ぐ	注げば<br>(F3)
Present Positive Plain<br>死ぬ	死ぬ<br>(G1)
Present Negative Plain<br>死ぬ	死なない<br>(G1)
Present Positive Polite<br>死ぬ	死にます<br>(G1)
Present Negative Polite<br>死ぬ	死にません<br>(G1)
Past Positive Plain<br>死ぬ	死んだ<br>(G1)
Past Negative Plain<br>死ぬ	死ななかった<br>(G1)
Past Positive Polite<br>死ぬ	死にました<br>(G1)
Past Negative Polite<br>死ぬ	死にませんでした<br>(G1)
-te Form<br>死ぬ	死んで<br>(G1)
Volitional<br>死ぬ	死のう<br>(G1)
Potential<br>死ぬ	死ねる<br>(G1)
Passive<br>死ぬ	死なれる<br>(G1)
Causative<br>死ぬ	死なせる<br>(G1)
Imperative<br>死ぬ	死ね<br>(G1)
Conditional<br>死ぬ	死ねば<br>(G1)
Present Positive Plain<br>去ぬ	去ぬ<br>(G2)
Present Negative Plain<br>去ぬ	去らない<br>(G2)
Present Positive Polite<br>去ぬ	去ります<br>(G2)
Present Negative Polite<br>去ぬ	去りません<br>(G2)
Past Positive Plain<br>去ぬ	去った<br>(G2)
Past Negative Plain<br>去ぬ	去らなかった<br>(G2)
Past Positive Polite<br>去ぬ	去りました<br>(G2)
Past Negative Polite<br>去ぬ	去りませんでした<br>(G2)
-te Form<br>去ぬ	去って<br>(G2)
Volitional<br>去ぬ	去ろう<br>(G2)
Potential<br>去ぬ	去れる<br>(G2)
Passive<br>去ぬ	去られる<br>(G2)
Causative<br>去ぬ	去らせる<br>(G2)
Imperative<br>去ぬ	去れ<br>(G2)
Conditional<br>去ぬ	去れば<br>(G2)
Present Positive Plain<br>往ぬ	往ぬ<br>(G3)
Present Negative Plain<br>往ぬ	往かぬ<br>(G3)
Present Positive Polite<br>往ぬ	往きます<br>(G3)
Present Negative Polite<br>往ぬ	往きません<br>(G3)
Past Positive Plain<br>往ぬ	往った<br>(G3)
Past Negative Plain<br>往ぬ	往かなかった<br>(G3)
Past Positive Polite<br>往ぬ	往きました<br>(G3)
Past Negative Polite<br>往ぬ	往きませんでした<br>(G3)
-te Form<br>往ぬ	往いて<br>(G3)
Volitional<br>往ぬ	往こう<br>(G3)
Potential<br>往ぬ	往ける<br>(G3)
Passive<br>往ぬ	往かれる<br>(G3)
Causative<br>往ぬ	往かせる<br>(G3)
Imperative<br>往ぬ	往け<br>(G3)
Conditional<br>往ぬ	往けば<br>(G3)
Present Positive Plain<br>来る	来る<br>(H1)
Present Negative Plain<br>来る	来ない<br>(H1)
Present Positive Polite<br>来る	来ます<br>(H1)
Present Negative Polite<br>来る	来ません<br>(H1)
Past Positive Plain<br>来る	来た<br>(H1)
Past Negative Plain<br>来る	来なかった<br>(H1)
Past Positive Polite<br>来る	来ました<br>(H1)
Past Negative Polite<br>来る	来ませんでした<br>(H1)
-te Form<br>来る	来て<br>(H1)
Volitional<br>来る	来よう<br>(H1)
Potential<br>来る	来られる<br>(H1)
Passive<br>来る	来られる<br>(H1)
Causative<br>来る	来させる<br>(H1)
Imperative<br>来る	来い<br>(H1)
Conditional<br>来る	来れば<br>(H1)
Present Positive Plain<br>連れて来る	連れて来る<br>(H2)
Present Negative Plain<br>連れて来る	連れて来ない<br>(H2)
Present Positive Polite<br>連れて来る	連れて来ます<br>(H2)
Present Negative Polite<br>連れて来る	連れて来ません<br>(H2)
Past Positive Plain<br>連れて来る	連れて来た<br>(H2)
Past Negative Plain<br>連れて来る	連れて来なかった<br>(H2)
Past Positive Polite<br>連れて来る	連れて来ました<br>(H2)
Past Negative Polite<br>連れて来る	連れて来ませんでした<br>(H2)
-te Form<br>連れて来る	連れて来て<br>(H2)
Volitional<br>連れて来る	連れて来よう<br>(H2)
Potential<br>連れて来る	連れて来られる<br>(H2)
Passive<br>連れて来る	連れて来られる<br>(H2)
Causative<br>連れて来る	連れて来させる<br>(H2)
Imperative<br>連れて来る	連れて来い<br>(H2)
Conditional<br>連れて来る	連れて来れば<br>(H2)
Present Positive Plain<br>有る	有る<br>(I1)
Present Negative Plain<br>有る	有らない<br>(I1)
Present Positive Polite<br>有る	有ります<br>(I1)
Present Negative Polite<br>有る	有りません<br>(I1)
Past Positive Plain<br>有る	有った<br>(I1)
Past Negative Plain<br>有る	有らなかった<br>(I1)
Past Positive Polite<br>有る	有りました<br>(I1)
Past Negative Polite<br>有る	有りませんでした<br>(I1)
-te Form<br>有る	有って<br>(I1)
Volitional<br>有る	有ろう<br>(I1)
Potential<br>有る	有れる<br>(I1)
Passive<br>有る	有られる<br>(I1)
Causative<br>有る	有らせる<br>(I1)
Imperative<br>有る	有れ<br>(I1)
Conditional<br>有る	有れば<br>(I1)
Present Positive Plain<br>書く	書く<br>(J1)
Present Negative Plain<br>書く	書かない<br>(J1)
Present Positive Polite<br>書く	書きます<br>(J1)
Present Negative Polite<br>書く	書きません<br>(J1)
Past Positive Plain<br>書く	書いた<br>(J1)
Past Negative Plain<br>書く	書かなかった<br>(J1)
Past Positive Polite<br>書く	書きました<br>(J1)
Past Negative Polite<br>書く	書きませんでした<br>(J1)
-te Form<br>書く	書いて<br>(J1)
Volitional<br>書く	書こう<br>(J1)
Potential<br>書く	書ける<br>(J1)
Passive<br>書く	書かれる<br>(J1)
Causative<br>書く	書かせる<br>(J1)
Imperative<br>書く	書け<br>(J1)
Conditional<br>書く	書けば<br>(J1)
Present Positive Plain<br>聞く	聞く<br>(J2)
Present Negative Plain<br>聞く	聞かない<br>(J2)
Present Positive Polite<br>聞く	聞きます<br>(J2)
Present Negative Polite<br>聞く	聞きません<br>(J2)
Past Positive Plain<br>聞く	聞いた<br>(J2)
Past Negative Plain<br>聞く	聞かなかった<br>(J2)
Past Positive Polite<br>聞く	聞きました<br>(J2)
Past Negative Polite<br>聞く	聞きませんでした<br>(J2)
-te Form<br>聞く	聞いて<br>(J2)
Volitional<br>聞く	聞こう<br>(J2)
Potential<br>聞く	聞ける<br>(J2)
Passive<br>聞く	聞かれる<br>(J2)
Causative<br>聞く	聞かせる<br>(J2)
Imperative<br>聞く	聞け<br>(J2)
Conditional<br>聞く	聞けば<br>(J2)
Present Positive Plain<br>置く	置く<br>(J3)
Present Negative Plain<br>置く	置かない<br>(J3)
Present Positive Polite<br>置く	置きます<br>(J3)
Present Negative Polite<br>置く	置きません<br>(J3)
Past Positive Plain<br>置く	置いた<br>(J3)
Past Negative Plain<br>置く	置かなかった<br>(J3)
Past Positive Polite<br>置く	置きました<br>(J3)
Past Negative Polite<br>置く	置きませんでした<br>(J3)
-te Form<br>置く	置いて<br>(J3)
Volitional<br>置く	置こう<br>(J3)
Potential<br>置く	置ける<br>(J3)
Passive<br>置く	置かれる<br>(J3)
Causative<br>置く	置かせる<br>(J3)
Imperative<br>置く	置け<br>(J3)
Conditional<br>置く	置けば<br>(J3)
Present Positive Plain<br>接する	接する<br>(K1)
Present Negative Plain<br>接する	接しない<br>(K1)
Present Positive Polite<br>接する	接します<br>(K1)
Present Negative Polite<br>接する	接しません<br>(K1)
Past Positive Plain<br>接する	接した<br>(K1)
Past Negative Plain<br>接する	接しなかった<br>(K1)
Past Positive Polite<br>接する	接しました<br>(K1)
Past Negative Polite<br>接する	接しませんでした<br>(K1)
-te Form<br>接する	接して<br>(K1)
Volitional<br>接する	接しよう<br>(K1)
Potential<br>接する	接できる<br>(K1)
Passive<br>接する	接される<br>(K1)
Causative<br>接する	接させる<br>(K1)
Imperative<br>接する	接せよ<br>(K1)
Conditional<br>接する	接すれば<br>(K1)
Present Positive Plain<br>発する	発する<br>(K2)
Present Negative Plain<br>発する	発しない<br>(K2)
Present Positive Polite<br>発する	発します<br>(K2)
Present Negative Polite<br>発する	発しません<br>(K2)
Past Positive Plain<br>発する	発した<br>(K2)
Past Negative Plain<br>発する	発さなかった<br>(K2)
Past Positive Polite<br>発する	発しました<br>(K2)
Past Negative Polite<br>発する	発しませんでした<br>(K2)
-te Form<br>発する	発して<br>(K2)
Volitional<br>発する	発そう<br>(K2)
Potential<br>発する	発できる<br>(K2)
Passive<br>発する	発される<br>(K2)
Causative<br>発する	発させる<br>(K2)
Imperative<br>発する	発せよ<br>(K2)
Conditional<br>発する	発すれば<br>(K2)
Present Positive Plain<br>罰する	罰する<br>(K3)
Present Negative Plain<br>罰する	罰しない<br>(K3)
Present Positive Polite<br>罰する	罰します<br>(K3)
Present Negative Polite<br>罰する	罰しません<br>(K3)
Past Positive Plain<br>罰する	罰した<br>(K3)
Past Negative Plain<br>罰する	罰さなかった<br>(K3)
Past Positive Polite<br>罰する	罰しました<br>(K3)
Past Negative Polite<br>罰する	罰しませんでした<br>(K3)
-te Form<br>罰する	罰して<br>(K3)
Volitional<br>罰する	罰そう<br>(K3)
Potential<br>罰する	罰できる<br>(K3)
Passive<br>罰する	罰される<br>(K3)
Causative<br>罰する	罰させる<br>(K3)
Imperative<br>罰する	罰せよ<br>(K3)
Conditional<br>罰する	罰すれば<br>(K3)
Present Positive Plain<br>指す	指す<br>(L1)
Present Negative Plain<br>指す	指さない<br>(L1)
Present Positive Polite<br>指す	指します<br>(L1)
Present Negative Polite<br>指す	指しません<br>(L1)
Past Positive Plain<br>指す	指した<br>(L1)
Past Negative Plain<br>指す	指さなかった<br>(L1)
Past Positive Polite<br>指す	指しました<br>(L1)
Past Negative Polite<br>指す	指しませんでした<br>(L1)
-te Form<br>指す	指して<br>(L1)
Volitional<br>指す	指そう<br>(L1)
Potential<br>指す	指せる<br>(L1)
Passive<br>指す	指される<br>(L1)
Causative<br>指す	指させる<br>(L1)
Imperative<br>指す	指せ<br>(L1)
Conditional<br>指す	指せば<br>(L1)
Present Positive Plain<br>話す	話す<br>(L2)
Present Negative Plain<br>話す	話さない<br>(L2)
Present Positive Polite<br>話す	話します<br>(L2)
Present Negative Polite<br>話す	話しません<br>(L2)
Past Positive Plain<br>話す	話した<br>(L2)
Past Negative Plain<br>話す	話さなかった<br>(L2)
Past Positive Polite<br>話す	話しました<br>(L2)
Past Negative Polite<br>話す	話しませんでした<br>(L2)
-te Form<br>話す	話して<br>(L2)
Volitional<br>話す	話そう<br>(L2)
Potential<br>話す	話せる<br>(L2)
Passive<br>話す	話される<br>(L2)
Causative<br>話す	話させる<br>(L2)
Imperative<br>話す	話せ<br>(L2)
Conditional<br>話す	話せば<br>(L2)
Present Positive Plain<br>示す	示す<br>(L3)
Present Negative Plain<br>示す	示さない<br>(L3)
Present Positive Polite<br>示す	示します<br>(L3)
Present Negative Polite<br>示す	示しません<br>(L3)
Past Positive Plain<br>示す	示した<br>(L3)
Past Negative Plain<br>示す	示さなかった<br>(L3)
Past Positive Polite<br>示す	示しました<br>(L3)
Past Negative Polite<br>示す	示しませんでした<br>(L3)
-te Form<br>示す	示して<br>(L3)
Volitional<br>示す	示そう<br>(L3)
Potential<br>示す	示せる<br>(L3)
Passive<br>示す	示される<br>(L3)
Causative<br>示す	示させる<br>(L3)
Imperative<br>示す	示せ<br>(L3)
Conditional<br>示す	示せば<br>(L3)
Present Positive Plain<br>愛する	愛する<br>(M1)
Present Negative Plain<br>愛する	愛さない<br>(M1)
Present Positive Polite<br>愛する	愛します<br>(M1)
Present Negative Polite<br>愛する	愛しません<br>(M1)
Past Positive Plain<br>愛する	愛した<br>(M1)
Past Negative Plain<br>愛する	愛さなかった<br>(M1)
Past Positive Polite<br>愛する	愛しました<br>(M1)
