		
Present Positive Plain<br>買う	買う<br>(C1)<br>[sound:jva-0001_買う.mp3]
Passive<br>見る	見られる<br>(B2)<br>[sound:jva-0117_見られる.mp3]
Causative<br>見る	見させる<br>(B2)<br>[sound:jva-0118_見させる.mp3]
Imperative<br>見る	見ろ<br>(B2)<br>[sound:jva-0119_見ろ.mp3]
Conditional<br>見る	見れば<br>(B2)<br>[sound:jva-0120_見れば.mp3]
Present Positive Plain<br>用いる	用いる<br>(B3)<br>[sound:jva-0121_用いる.mp3]
Present Negative Plain<br>用いる	用いない<br>(B3)<br>[sound:jva-0122_用いない.mp3]
Present Positive Polite<br>用いる	用います<br>(B3)<br>[sound:jva-0123_用います.mp3]
Present Negative Polite<br>用いる	用いません<br>(B3)<br>[sound:jva-0124_用いません.mp3]
Past Positive Plain<br>用いる	用いた<br>(B3)<br>[sound:jva-0125_用いた.mp3]
Past Negative Plain<br>用いる	用いなかった<br>(B3)<br>[sound:jva-0126_用いなかった.mp3]
Past Positive Polite<br>用いる	用いました<br>(B3)<br>[sound:jva-0127_用いました.mp3]
Past Negative Polite<br>用いる	用いませんでした<br>(B3)<br>[sound:jva-0128_用いませんでした.mp3]
-te Form<br>用いる	用いて<br>(B3)<br>[sound:jva-0129_用いて.mp3]
Volitional<br>用いる	用おう<br>(B3)<br>[sound:jva-0130_用おう.mp3]
Potential<br>用いる	用える<br>(B3)<br>[sound:jva-0131_用える.mp3]
Passive<br>用いる	用われる<br>(B3)<br>[sound:jva-0132_用われる.mp3]
Causative<br>用いる	用わせる<br>(B3)<br>[sound:jva-0133_用わせる.mp3]
Imperative<br>用いる	用いろ<br>(B3)<br>[sound:jva-0134_用いろ.mp3]
Conditional<br>用いる	用えば<br>(B3)<br>[sound:jva-0135_用えば.mp3]
行く(D1)	行く<br>[sound:jva-0136_彼は毎朝ジョギングに行く。.mp3]
行く(D1)	行かない<br>[sound:jva-0137_彼女は雨の日には外出しない。.mp3]
行く(D1)	行きます<br>[sound:jva-0138_私たちは今晩映画を見に行きます。.mp3]
行く(D1)	行きません<br>[sound:jva-0139_この週末は旅行には行きません。.mp3]
行く(D1)	行った<br>[sound:jva-0140_先週、友達と海へ行った。.mp3]
行く(D1)	行かなかった<br>[sound:jva-0141_彼は昨日、授業に行かなかった。.mp3]
行く(D1)	行きました<br>[sound:jva-0142_彼女は昨夜、コンサートに行きました。.mp3]
行く(D1)	行きませんでした<br>[sound:jva-0143_私たちは先週末、野外コンサートに行きませんでした。.mp3]
行く(D1)	行って<br>[sound:jva-0144_彼らは映画館に行ってきた。.mp3]
行く(D1)	行こう<br>[sound:jva-0145_明日は公園にピクニックしに行こう。.mp3]
行く(D1)	行ける<br>[sound:jva-0146_彼は一人で外国に行ける。.mp3]
行く(D1)	行かれる<br>[sound:jva-0147_その会社では、定期的に海外出張が行かれる。.mp3]
行く(D1)	行かせる<br>[sound:jva-0148_両親は子供たちを映画館に行かせた。.mp3]
行く(D1)	行け<br>[sound:jva-0149_早く行け！.mp3]
行く(D1)	行けば<br>[sound:jva-0150_もし天気が良ければ、散歩に行けばどうですか？.mp3]
往く(D2)	往く<br>[sound:jva-0151_彼は毎年夏に祖国へ往く。.mp3]
往く(D2)	往かない<br>[sound:jva-0152_彼女は町から出ずに往かない。.mp3]
往く(D2)	往きます<br>[sound:jva-0153_彼は出張のために東京へ往きます。.mp3]
往く(D2)	往きません<br>[sound:jva-0154_今日は用事があって出かけないので、外には往きません。.mp3]
往く(D2)	往いた<br>[sound:jva-0155_私は昨日、彼の家へ往いた。.mp3]
往く(D2)	往かなかった<br>[sound:jva-0156_彼は昨日、予定が変わって出かけなかったので、祭りへ往かなかった。.mp3]
往く(D2)	往きました<br>[sound:jva-0157_先月、京都へ往きました。.mp3]
往く(D2)	往きませんでした<br>[sound:jva-0158_その日は雨だったので、公園へ往きませんでした。.mp3]
往く(D2)	往いて<br>[sound:jva-0159_神社へお参りに往いて、お守りを買いました。.mp3]
往く(D2)	往こう<br>[sound:jva-0160_明日は山へ往こうと思っています。.mp3]
往く(D2)	往ける<br>[sound:jva-0161_彼は自由に世界中を往ける。.mp3]
往く(D2)	往かれる<br>[sound:jva-0162_その地域は多くの観光客によって訪れられている。.mp3]
往く(D2)	往かせる<br>[sound:jva-0163_彼は子供たちを危険な場所へは往かせない。.mp3]
往く(D2)	往け<br>[sound:jva-0164_旅立ちの時が来たら、新しい冒険に往け！.mp3]
往く(D2)	往けば<br>[sound:jva-0165_大学が近くにあれば、自転車で往けばいいですね。.mp3]
Present Positive Plain<br>イく	イく<br>(D3)<br>[sound:jva-0166_イく.mp3]
Present Negative Plain<br>イく	イかん<br>(D3)<br>[sound:jva-0167_イかん.mp3]
Present Positive Polite<br>イく	イきます<br>(D3)<br>[sound:jva-0168_イきます.mp3]
Present Negative Polite<br>イく	イきません<br>(D3)<br>[sound:jva-0169_イきません.mp3]
Past Positive Plain<br>イく	イった<br>(D3)<br>[sound:jva-0170_イった.mp3]
Past Negative Plain<br>イく	イかんかった<br>(D3)<br>[sound:jva-0171_イかんかった.mp3]
Past Positive Polite<br>イく	イきました<br>(D3)<br>[sound:jva-0172_イきました.mp3]
Past Negative Polite<br>イく	イきませんでした<br>(D3)<br>[sound:jva-0173_イきませんでした.mp3]
-te Form<br>イく	イって<br>(D3)<br>[sound:jva-0174_イって.mp3]
Volitional<br>イく	イこう<br>(D3)<br>[sound:jva-0175_イこう.mp3]
Potential<br>イく	イける<br>(D3)<br>[sound:jva-0176_イける.mp3]
Passive<br>イく	イかれる<br>(D3)<br>[sound:jva-0177_イかれる.mp3]
Causative<br>イく	イかせる<br>(D3)<br>[sound:jva-0178_イかせる.mp3]
Imperative<br>イく	イけ<br>(D3)<br>[sound:jva-0179_イけ.mp3]
Conditional<br>イく	イけば<br>(D3)<br>[sound:jva-0180_イけば.mp3]
Present Positive Plain<br>禁ずる	禁ずる<br>(E1)<br>[sound:jva-0181_禁ずる.mp3]
Present Negative Plain<br>禁ずる	禁ずられない<br>(E1)<br>[sound:jva-0182_禁ずられない.mp3]
Present Positive Polite<br>禁ずる	禁ずります<br>(E1)<br>[sound:jva-0183_禁ずります.mp3]
Present Negative Polite<br>禁ずる	禁ずりません<br>(E1)<br>[sound:jva-0184_禁ずりません.mp3]
Past Positive Plain<br>禁ずる	禁ずった<br>(E1)<br>[sound:jva-0185_禁ずった.mp3]
Past Negative Plain<br>禁ずる	禁ずられなかった<br>(E1)<br>[sound:jva-0186_禁ずられなかった.mp3]
Past Positive Polite<br>禁ずる	禁ずりました<br>(E1)<br>[sound:jva-0187_禁ずりました.mp3]
Past Negative Polite<br>禁ずる	禁ずりませんでした<br>(E1)<br>[sound:jva-0188_禁ずりませんでした.mp3]
-te Form<br>禁ずる	禁ずって<br>(E1)<br>[sound:jva-0189_禁ずって.mp3]
Volitional<br>禁ずる	禁ずろう<br>(E1)<br>[sound:jva-0190_禁ずろう.mp3]
Potential<br>禁ずる	禁ずれる<br>(E1)<br>[sound:jva-0191_禁ずれる.mp3]
Passive<br>禁ずる	禁ずられる<br>(E1)<br>[sound:jva-0192_禁ずられる.mp3]
Causative<br>禁ずる	禁ずらせる<br>(E1)<br>[sound:jva-0193_禁ずらせる.mp3]
Imperative<br>禁ずる	禁ずれ<br>(E1)<br>[sound:jva-0194_禁ずれ.mp3]
Conditional<br>禁ずる	禁ずれば<br>(E1)<br>[sound:jva-0195_禁ずれば.mp3]
Present Positive Plain<br>信ずる	信ずる<br>(E2)<br>[sound:jva-0196_信ずる.mp3]
Present Negative Plain<br>信ずる	信じない<br>(E2)<br>[sound:jva-0197_信じない.mp3]
Present Positive Polite<br>信ずる	信じます<br>(E2)<br>[sound:jva-0198_信じます.mp3]
Present Negative Polite<br>信ずる	信じません<br>(E2)<br>[sound:jva-0199_信じません.mp3]
Past Positive Plain<br>信ずる	信じた<br>(E2)<br>[sound:jva-0200_信じた.mp3]
Past Negative Plain<br>信ずる	信じなかった<br>(E2)<br>[sound:jva-0201_信じなかった.mp3]
Past Positive Polite<br>信ずる	信じました<br>(E2)<br>[sound:jva-0202_信じました.mp3]
Past Negative Polite<br>信ずる	信じませんでした<br>(E2)<br>[sound:jva-0203_信じませんでした.mp3]
-te Form<br>信ずる	信じて<br>(E2)<br>[sound:jva-0204_信じて.mp3]
Volitional<br>信ずる	信じよう<br>(E2)<br>[sound:jva-0205_信じよう.mp3]
Potential<br>信ずる	信じられる<br>(E2)<br>[sound:jva-0206_信じられる.mp3]
Passive<br>信ずる	信じられる<br>(E2)<br>[sound:jva-0207_信じられる.mp3]
Causative<br>信ずる	信じさせる<br>(E2)<br>[sound:jva-0208_信じさせる.mp3]
Imperative<br>信ずる	信じろ<br>(E2)<br>[sound:jva-0209_信じろ.mp3]
Conditional<br>信ずる	信じれば<br>(E2)<br>[sound:jva-0210_信じれば.mp3]
Present Positive Plain<br>命ずる	命ずる<br>(E3)<br>[sound:jva-0211_命ずる.mp3]
Present Negative Plain<br>命ずる	命ずらない<br>(E3)<br>[sound:jva-0212_命ずらない.mp3]
Present Positive Polite<br>命ずる	命ずります<br>(E3)<br>[sound:jva-0213_命ずります.mp3]
Present Negative Polite<br>命ずる	命ずりません<br>(E3)<br>[sound:jva-0214_命ずりません.mp3]
Past Positive Plain<br>命ずる	命ずった<br>(E3)<br>[sound:jva-0215_命ずった.mp3]
Past Negative Plain<br>命ずる	命ずらなかった<br>(E3)<br>[sound:jva-0216_命ずらなかった.mp3]
Past Positive Polite<br>命ずる	命ずりました<br>(E3)<br>[sound:jva-0217_命ずりました.mp3]
Past Negative Polite<br>命ずる	命ずりませんでした<br>(E3)<br>[sound:jva-0218_命ずりませんでした.mp3]
-te Form<br>命ずる	命ずって<br>(E3)<br>[sound:jva-0219_命ずって.mp3]
Volitional<br>命ずる	命ずろう<br>(E3)<br>[sound:jva-0220_命ずろう.mp3]
Potential<br>命ずる	命ずれる<br>(E3)<br>[sound:jva-0221_命ずれる.mp3]
Passive<br>命ずる	命ずられる<br>(E3)<br>[sound:jva-0222_命ずられる.mp3]
Causative<br>命ずる	命ずらせる<br>(E3)<br>[sound:jva-0223_命ずらせる.mp3]
Imperative<br>命ずる	命ずれ<br>(E3)<br>[sound:jva-0224_命ずれ.mp3]
Conditional<br>命ずる	命ずれば<br>(E3)<br>[sound:jva-0225_命ずれば.mp3]
Present Positive Plain<br>泳ぐ	泳ぐ<br>(F1)<br>[sound:jva-0226_泳ぐ.mp3]
Present Negative Plain<br>泳ぐ	泳がない<br>(F1)<br>[sound:jva-0227_泳がない.mp3]
Present Positive Polite<br>泳ぐ	泳ぎます<br>(F1)<br>[sound:jva-0228_泳ぎます.mp3]
Present Negative Polite<br>泳ぐ	泳ぎません<br>(F1)<br>[sound:jva-0229_泳ぎません.mp3]
Past Positive Plain<br>泳ぐ	泳いだ<br>(F1)<br>[sound:jva-0230_泳いだ.mp3]
Past Negative Plain<br>泳ぐ	泳がなかった<br>(F1)<br>[sound:jva-0231_泳がなかった.mp3]
Past Positive Polite<br>泳ぐ	泳ぎました<br>(F1)<br>[sound:jva-0232_泳ぎました.mp3]
Past Negative Polite<br>泳ぐ	泳ぎませんでした<br>(F1)<br>[sound:jva-0233_泳ぎませんでした.mp3]
-te Form<br>泳ぐ	泳いで<br>(F1)<br>[sound:jva-0234_泳いで.mp3]
Volitional<br>泳ぐ	泳ごう<br>(F1)<br>[sound:jva-0235_泳ごう.mp3]
Potential<br>泳ぐ	泳げる<br>(F1)<br>[sound:jva-0236_泳げる.mp3]
Passive<br>泳ぐ	泳がれる<br>(F1)<br>[sound:jva-0237_泳がれる.mp3]
Causative<br>泳ぐ	泳がせる<br>(F1)<br>[sound:jva-0238_泳がせる.mp3]
Imperative<br>泳ぐ	泳げ<br>(F1)<br>[sound:jva-0239_泳げ.mp3]
Conditional<br>泳ぐ	泳げば<br>(F1)<br>[sound:jva-0240_泳げば.mp3]
Present Positive Plain<br>次ぐ	次ぐ<br>(F2)<br>[sound:jva-0241_次ぐ.mp3]
Present Negative Plain<br>次ぐ	次がない<br>(F2)<br>[sound:jva-0242_次がない.mp3]
Present Positive Polite<br>次ぐ	次ぎます<br>(F2)<br>[sound:jva-0243_次ぎます.mp3]
Present Negative Polite<br>次ぐ	次ぎません<br>(F2)<br>[sound:jva-0244_次ぎません.mp3]
Past Positive Plain<br>次ぐ	次いだ<br>(F2)<br>[sound:jva-0245_次いだ.mp3]
Past Negative Plain<br>次ぐ	次がなかった<br>(F2)<br>[sound:jva-0246_次がなかった.mp3]
Past Positive Polite<br>次ぐ	次ぎました<br>(F2)<br>[sound:jva-0247_次ぎました.mp3]
Past Negative Polite<br>次ぐ	次ぎませんでした<br>(F2)<br>[sound:jva-0248_次ぎませんでした.mp3]
-te Form<br>次ぐ	次いで<br>(F2)<br>[sound:jva-0249_次いで.mp3]
Volitional<br>次ぐ	次ごう<br>(F2)<br>[sound:jva-0250_次ごう.mp3]
Potential<br>次ぐ	次げる<br>(F2)<br>[sound:jva-0251_次げる.mp3]
Passive<br>次ぐ	次がれる<br>(F2)<br>[sound:jva-0252_次がれる.mp3]
Causative<br>次ぐ	次がせる<br>(F2)<br>[sound:jva-0253_次がせる.mp3]
Imperative<br>次ぐ	次げ<br>(F2)<br>[sound:jva-0254_次げ.mp3]
Conditional<br>次ぐ	次げば<br>(F2)<br>[sound:jva-0255_次げば.mp3]
Present Positive Plain<br>注ぐ	注ぐ<br>(F3)<br>[sound:jva-0256_注ぐ.mp3]
Present Negative Plain<br>注ぐ	注がない<br>(F3)<br>[sound:jva-0257_注がない.mp3]
Present Positive Polite<br>注ぐ	注ぎます<br>(F3)<br>[sound:jva-0258_注ぎます.mp3]
Present Negative Polite<br>注ぐ	注ぎません<br>(F3)<br>[sound:jva-0259_注ぎません.mp3]
Past Positive Plain<br>注ぐ	注いだ<br>(F3)<br>[sound:jva-0260_注いだ.mp3]
Past Negative Plain<br>注ぐ	注がなかった<br>(F3)<br>[sound:jva-0261_注がなかった.mp3]
Past Positive Polite<br>注ぐ	注ぎました<br>(F3)<br>[sound:jva-0262_注ぎました.mp3]
Past Negative Polite<br>注ぐ	注ぎませんでした<br>(F3)<br>[sound:jva-0263_注ぎませんでした.mp3]
-te Form<br>注ぐ	注いで<br>(F3)<br>[sound:jva-0264_注いで.mp3]
Volitional<br>注ぐ	注ごう<br>(F3)<br>[sound:jva-0265_注ごう.mp3]
Potential<br>注ぐ	注げる<br>(F3)<br>[sound:jva-0266_注げる.mp3]
Passive<br>注ぐ	注がれる<br>(F3)<br>[sound:jva-0267_注がれる.mp3]
Causative<br>注ぐ	注がせる<br>(F3)<br>[sound:jva-0268_注がせる.mp3]
Imperative<br>注ぐ	注げ<br>(F3)<br>[sound:jva-0269_注げ.mp3]
Conditional<br>注ぐ	注げば<br>(F3)<br>[sound:jva-0270_注げば.mp3]
Present Positive Plain<br>死ぬ	死ぬ<br>(G1)<br>[sound:jva-0271_死ぬ.mp3]
Present Negative Plain<br>死ぬ	死なない<br>(G1)<br>[sound:jva-0272_死なない.mp3]
Present Positive Polite<br>死ぬ	死にます<br>(G1)<br>[sound:jva-0273_死にます.mp3]
Present Negative Polite<br>死ぬ	死にません<br>(G1)<br>[sound:jva-0274_死にません.mp3]
Past Positive Plain<br>死ぬ	死んだ<br>(G1)<br>[sound:jva-0275_死んだ.mp3]
Past Negative Plain<br>死ぬ	死ななかった<br>(G1)<br>[sound:jva-0276_死ななかった.mp3]
Past Positive Polite<br>死ぬ	死にました<br>(G1)<br>[sound:jva-0277_死にました.mp3]
Past Negative Polite<br>死ぬ	死にませんでした<br>(G1)<br>[sound:jva-0278_死にませんでした.mp3]
-te Form<br>死ぬ	死んで<br>(G1)<br>[sound:jva-0279_死んで.mp3]
Volitional<br>死ぬ	死のう<br>(G1)<br>[sound:jva-0280_死のう.mp3]
Potential<br>死ぬ	死ねる<br>(G1)<br>[sound:jva-0281_死ねる.mp3]
Passive<br>死ぬ	死なれる<br>(G1)<br>[sound:jva-0282_死なれる.mp3]
Causative<br>死ぬ	死なせる<br>(G1)<br>[sound:jva-0283_死なせる.mp3]
Imperative<br>死ぬ	死ね<br>(G1)<br>[sound:jva-0284_死ね.mp3]
Conditional<br>死ぬ	死ねば<br>(G1)<br>[sound:jva-0285_死ねば.mp3]
Present Positive Plain<br>去ぬ	去ぬ<br>(G2)<br>[sound:jva-0286_去ぬ.mp3]
Present Negative Plain<br>去ぬ	去らない<br>(G2)<br>[sound:jva-0287_去らない.mp3]
Present Positive Polite<br>去ぬ	去ります<br>(G2)<br>[sound:jva-0288_去ります.mp3]
Present Negative Polite<br>去ぬ	去りません<br>(G2)<br>[sound:jva-0289_去りません.mp3]
Past Positive Plain<br>去ぬ	去った<br>(G2)<br>[sound:jva-0290_去った.mp3]
Past Negative Plain<br>去ぬ	去らなかった<br>(G2)<br>[sound:jva-0291_去らなかった.mp3]
Past Positive Polite<br>去ぬ	去りました<br>(G2)<br>[sound:jva-0292_去りました.mp3]
Past Negative Polite<br>去ぬ	去りませんでした<br>(G2)<br>[sound:jva-0293_去りませんでした.mp3]
-te Form<br>去ぬ	去って<br>(G2)<br>[sound:jva-0294_去って.mp3]
Volitional<br>去ぬ	去ろう<br>(G2)<br>[sound:jva-0295_去ろう.mp3]
Potential<br>去ぬ	去れる<br>(G2)<br>[sound:jva-0296_去れる.mp3]
